Company Name,Competitors,Founded,Headquarters,Industry,Job Description,Job Title,Location,Rating,Revenue,Salary Estimate,Sector,Size,Type of ownership
"NTT DATA Corporation
3.3","Capgemini, Accenture, Deloitte",1967,"Tokyo, Japan",IT Services,"At NTT DATA Services, we know that with the right people on board, anything is possible. The quality, integrity, and commitment of our employees are key factors in our company's growth, market presence and our ability to help our clients stay a step ahead of the competition. By hiring the best people and helping them grow both professionally and personally, we ensure a bright future for NTT DATA Services and for the people who work here.

NTT DATA Services currently seeks a Datacenter/Cloud Engineer to join our team in Falls Church, Virginia (US-VA), United States (US).

Overall responsibility for the day-to-day operations of managing services including software deployment and upgrades, system setup, system administration, monitoring, incident resolution, problem management, configuration, and change management, service desk, security management, and monitoring, capacity planning, availability management, disaster recovery and routine update of services.

Responsibilities/Previous Experience
Ability to quickly grasp complex technical concepts (working within existing documentation and team members) and make them easily understandable.
Creates and maintains strategies related to Cloud Infrastructure and Cloud Services throughout the EOIR enterprise ensuring all performance and cost curves are closely managed
Drives the adoption, and articulate the risks/opportunities from leveraging Cloud Infrastructure
Oversees and directs the timely evaluation, qualification, and implementation of new software products, tools, and related appliances as it pertains to the Cloud environment
Ensures timely liaison with vendors regarding problems, fixes, and required enhancements
Experience leading large complex enterprise-wide infrastructure projects/programs with multiple interfaces and/or 3rd parties
Experience supporting DevOps automation teams using tools such as Chef, Knife, Jenkins, Openstack
Basic Qualifications:
3+ years' 3rd party Cloud Provider Experience: AWS or Azure
5+ years' IT Service Management
5+ years' experience working as an Operations Manager with demonstrated success in operating mission-critical enterprise software services.
Preferred Experience
Experience launching new services and teams
Datacenter, server, and storage management, virtualization, networking, systems management, monitoring, DNS, DHCP, backups, and disaster recovery and/or project management
INDPUBLIC

This position is only available to those interested in direct staff employment opportunities with NTT DATA, Inc. or its subsidiaries. Please note, 1099 or corp-2-corp contractors or the equivalent will NOT be considered. We offer a full comprehensive benefits package that starts from your first day of employment.

About NTT DATA Services

NTT DATA Services partners with clients to navigate and simplify the modern complexities of business and technology, delivering the insights, solutions and outcomes that matter most. We deliver tangible business results by combining deep industry expertise with applied innovations in digital, cloud and automation across a comprehensive portfolio of consulting, applications, infrastructure and business process services.

NTT DATA Services, headquartered in Plano, Texas, is a division of NTT DATA Corporation, a top 10 global business and IT services provider with 118,000+ professionals in more than 50 countries, and NTT Group, a partner to 88 percent of the Fortune 100. Visitnttdataservices.com to learn more.

NTT DATA, Inc. (the ""Company"") is an equal opportunity employer and makes employment decisions on the basis of merit and business needs. The Company will consider all qualified applicants for employment without regard to race, color, religious creed, citizenship, national origin, ancestry, age, sex, sexual orientation, gender identity, genetic information, physical or mental disability, veteran or marital status, or any other class protected by law. To comply with applicable laws ensuring equal employment opportunities to qualified individuals with a disability, the Company will make reasonable accommodations for the known physical or mental limitations of an otherwise qualified individual with a disability who is an applicant or an employee unless undue hardship to the Company would result.",Datacenter/Cloud Engineer,"Falls Church, VA",3.3,$10+ billion (USD),$40K-$72K (Glassdoor est.),Information Technology,10000+ employees,Company - Public
"Comtech EF Data
3.0",-1,1980,"Tempe, AZ",Telecommunications Manufacturing,"Summary
Operate AOI (YesTech Automated Optical Inspection), X-Ray (YesTech X-Ray) machine and perform visual inspection. Familiar with IPC-610 and J-STD, ability to read and interpret documents such as blueprints, assembly instructions (A.I) BOM (part list), engineering change orders (ECO), safety rules, procedures, routine reports, and departmental correspondence.

Essential Duties and Responsibilities
• Examine documents such as blueprints, assembly instructions (A.I.), change orders (ECO) and verify the completeness and accuracy of the document.
• Ability to inspect first piece by run the PCB through AOI, (YesTech) and X-Ray (YesTech) machine and visual inspection.
• Review and fill out first piece documentation and AOI communication form. Notify appropriate personnel when discrepancies are found.
• Depending on experience and ability Inspector may be required to perform the following:
o Modify AOI programing to improve coverage and accuracy.
o Program AOI equipment for inspection of new PCBAs.
• Other duties may be assigned.

Qualifications
• High school diploma or general education degree (GED): or three to six months related experience and/or training; or equivalent combination of education and experience.
• Minimum two-years of experience as a Quality Control Inspector or equivalent.
• Experience operating and programming YesTech Automated Optical Equipment would be desired.
• Minimum of one-year of experience running the AOI (Automate Optical Inspection) and X-Ray machine.
• Familiar with IPC-610 and J-STD
• Electronic Component Identification.
• Ability to read and interpret documents such as blueprints, assembly instructions (A.I), BOMs (part list), engineering change orders (ECO), safety rules, procedures, routine reports and departmental correspondence.
• Good communication, both written and verbal.
• Experience using personal computer and working knowledge of Microsoft software including Windows & Office.
• Ability to work overtime including weekends, as needed, to meet customer order demands and on time delivery.
• Ability to add, subtract, multiply, and divide in all units of measure, using whole numbers, common fractions, and decimals.
• Ability to solve practical problems and deal with a variety of situations individually, as part of a team, or by notifying appropriate personnel to assist in correcting the issue.

About Us

Comtech EF Data Corp. is a leading supplier of communications equipment with a focus on satellite bandwidth efficiency and link optimization. The high-performance satellite communications ground equipment is deployed globally to support mission-critical and demanding applications for government, mobile backhaul, premium enterprise and mobility. Service providers, satellite operators, governments and commercial users wanting to optimize communications, increase throughput and delight customers, are leveraging the performance and flexibility of the Comtech brand. The solutions are facilitating fixed and mobile networks in 160+ countries and across every ocean. For more information, visit www.comtechefdata.com. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability or protected veteran status. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.",AOI Inspector,"Tempe, AZ",3.0,$25 to $50 million (USD),$40K-$72K (Glassdoor est.),Telecommunications,501 to 1000 employees,Subsidiary or Business Segment
"Federal Data Systems
3.1",-1,-1,"Linthicum, MD",IT Services,"Job Title: Information Systems Security Engineer (ISSE) 2

Location: Ft. Meade, MD

Required Security Clearance: TS//SCI with Polygraph

Required Certifications: Security +CE , or any DOD 8570 IAT level 2 cert or higher

Required Education: BS in a technical discipline, or 5 years additional experience can be substituted for a degree.

Required Experience:

· Shall have three (3) years of direct experience with an intelligence community or signals intelligence activity.

· Shall have eight (8) years’ experience integrating information assurance disciplines into the system design, development, integration, and implementation.

· Shall have two (2) years’ experience identifying Information Protection needs and define System Security Requirements; designing System Security Architecture; developing detailed Security Designs (including system security certifications and project evaluations).

· Shall have two (2) years’ experience with Defense in Depth principles and technology including access/control, authorization, identification and authentication, public key infrastructure, network, and enterprise security architecture.

· Shall have four (4) years’ experience developing security plans for employing enterprise-wide security architecture.

· Shall have four (4) years’ experience assessing and auditing network penetration testing antivirus planning assistance, risk analysis and incident response.

· Shall have four (4) years’ experience applying security risk assessment methodology to system development, including threat model development, vulnerability assessments, and resulting security risk analysis.

· Shall have four (4) years’ experience with the NSA Certification and Accreditation process (NISCAP).

· Shall have three (3) years’ experience enforcing the design and implementation of trusted relationships among external agency systems and architectures.

· Shall have two (2) years’ experience in the implementation of cross domain solutions e.g. an information assurance solution that provides the ability to manually and/or automatically access and/or transfer between two or more differing security domains.

· Shall have two (2) years’ experience developing systems that process information with different classifications and categories that simultaneously permits access by users with different security clearances and denies access to users who lack authorization.

· Shall have two (2) years’ experience in network security certifications.

· Shall have two (2) years’ experience in system certifications.

· Shall have five (5) years’ experience applying of Federal, NSA, intelligence community and DoD Information Security regulations, publications, and policy.

Description:

Federal Data Systems requires a senior level ISSE to monitor, evaluate, and maintain systems and procedures to protect data systems and databases from unauthorized users in classified spaces. You will identify potential threats, and respond to reported security violations.

Functional Responsibility:

Performs as an Information System Security Engineer Level 2 expertise to optimize our Intelligence Customer’s enterprise protection posture performing certification and accreditation and developing Security Plans

· Recommends and participates in activities that prevent repeated vulnerability assessment finding

· Provides and participates in A&A support for projects and technical exchange meeting

· Contributes to the deliverables for this WBS element

Qualifications:

· Fifteen (15) years’ experience as a Network Engineer in programs and contracts of similar scope, type, and complexity is required.

· Bachelor’s degree in a technical discipline from an accredited college or university is required.

· Five (5) additional years of experience in Network Engineering disciplines may be substituted for a bachelor’s degree.

Preferences: None

Working Conditions: 8 hour day office environment

Physical Requirements: None

Background Screening/Check/Investigation:

Employment Type: Full Time / Exempt

Benefits:

Federal Data Systems, LLC offers competitive compensation, a flexible benefits package, career development opportunities that reflect its commitment to creating a diverse and supportive workplace. Benefits include, not all inclusive – Medical, Vision & Dental Insurance, Paid Time-Off & Company Paid Holidays, Personal Development & Learning Opportunities.

Other:

This employer participates in E-Verify and will provide the federal government with your Form I-9 information to confirm that you are authorized to work in the U.S.

Federal Data Systems, LLC (FEDDATA) is an Equal Opportunity/Affirmative Action Employer. That does not unlawfully discriminate in any of its programs or activities on the basis of race, color, religion, sex, age, sexual orientation, gender identity, national origin, disability, protected veteran status, or any other basis prohibited by applicable law.",Information Systems Security Engineer (ISSE) 2,"Fort Meade, MD",3.1,$5 to $10 million (USD),$40K-$72K (Glassdoor est.),Information Technology,1 to 50 employees,Contract
"Integrated Data Services Inc.
4.6",-1,-1,"El Segundo, CA",Computer Hardware & Software,"Company Overview:
Integrated Data Services (IDS) is a leading provider of custom software products and Government financial management services. IDS was founded in 1997 in El Segundo, CA, and since that time has seen tremendous growth and success. Currently IDS has offices supporting customers nationwide. By providing customers with fast, efficient and reliable information systems and support services, IDS has become a preferred provider of financial and programmatic systems, services, and solutions across a wide variety of government agencies.
Position Description:
IDS is currently searching for a Business Analyst with experience in Department of Defense (DoD) financial management processes, government financial and accounting systems, acquisition and budgeting processes, and relational databases to provide support and training on-site to a government customer. This position will also work with senior leadership to perform data extraction, cleansing, analysis, visualization and storytelling. Successful candidates will have experience analyzing data from various systems (Finance, Logistics, Personnel, Acquisition, Contracting, etc.), work well independently, think creatively, thrive under pressure, and be able to adjust to shifting priorities quickly. Candidates will possess effective diplomatic, time management, and oral and written communication skills.

Responsibilities include, but are not limited to, the following:
Act as a financial and technical consultant for a DoD program management and financial management system
Assist customers in properly structuring financial data
Manage the assigned project, including all aspects of service to and coordination with the Government customer
Provide expertise in government finance: perform reconciliation between several systems, perform daily review of budget forecasts and accounting data, and otherwise support a government program management office
Knowledge and Skills:
This position requires a minimum of five (5) years of experience in business management.
This position requires a minimum of five (5) years of experience in DoD cost, budget, scheduling or acquisition.
Candidates will need two (2) years of experience using Business Intelligence (BI) and self-service data visualization tools such as Qlik Sense, Qlik View, Tableau or Power BI are preferred.
Experience with Army financial management processes, Army financial systems, GFEBS, C-PROBE, FIRE, A2S Modern, CQUIP and Comprehensive Cost and Requirement System (CCaR) a plus.
Education and Work Experience:
This position requires a minimum of a Bachelor's degree from an accredited college or university in business management, engineering, computer science, mathematics, economics or other related discipline.
Experience in lieu of education may be considered if the individual has seven (7) or more years of equivalent technical training or work/military experience.
Physical Qualifications:
Must be able to lift/carry at least 15 lbs.
Must be able to remain in a stationary position 80% of the time.
Must consistently work and type on a computer and may be required to move about inside the office to access file cabinets, office supplies, etc.
Certificates and Licenses:
Certified Defense Financial Manager, Defense Acquisition Workforce Improvement Act (DAWIA) Business-FM Level II, or DoD Financial Management Level II highly desired.
Applicants selected for employment will be subject to a Federal background investigation and must meet additional eligibility requirements for access to classified information or materials.
Travel:
Some travel may be required.
Hours:
Normal work schedule hours may vary, Monday through Friday. May be required to work additional hours and/or weekends, as needed, to meet deadlines or to fulfill travel obligations.

Salary Range:
Commensurate with experience.
IDS offers a robust benefits package including health, dental, vision and 401K plans. IDS is an Equal Opportunity Employer and all qualified applicants will receive consideration for employment without regards to race, creed, age, sex, gender, physical or mental disability, sexual orientation, gender identity, gender expression, ancestry, pregnancy perceived pregnancy, medical condition, marital status, familial status, color, religion, uniformed services, veteran status, national origin, genetic information, or any other characteristic protected under local, state or Federal law. A submission of a resume is an expression of interest and not considered an application.

For more information, visit www.get-integrated.com.

****U.S. citizenship and/or green card is required; H1-B visas and other visas are not being sponsored. Relocation expenses are NOT compensated. All jobs are employer paid; no fees to candidates. Third parties or agencies inquiries are not being accepted.**
#IDS",ASAALT Program Analyst,"Austin, TX",4.6,$10 to $25 million (USD),$40K-$72K (Glassdoor est.),Information Technology,51 to 200 employees,Company - Private
"NTT DATA Corporation
3.3","Capgemini, Accenture, Deloitte",1967,"Tokyo, Japan",IT Services,"The Salesforce.com Developer/Integration Consultant will be a member of the SaaS SalesForce.com (SFDC) Practice and will work with Business Analysts, Senior Consultants and Project Managers on project sand support engagements. The Developer will be technically well-rounded with strong communication (oral and written) skills. The role is technical in nature and will be expected to provide the expertise necessary to successfully complete the technical aspects of the client engagement on time, on budget, with deliverables of a high quality. This role works in a fast-paced high-energy market segment and candidates should be able to successfully balance multiple projects in a matrix environment.

Responsibilities
Working experience --Minimum 5 years of Salesforce Integration experience
Working experience with Salesforce Lightning Web Component, strongly preferred
Working experience with Salesforce and Mulesoft Integration, strongly preferred
Working experience with Vlocity tools and processes, strongly preferred
Vlocity certification strongly preferred
Basic Qualifications

4 Year College Degree (preferably in Computer Science or Business)

3+ years SalesForce Integration

5+ years -Salesforce-Apex, Visualforce, Angular, JS Triggers, SOAP Web Services-Develop

3+ years -Developer-Salesforce-Salesforce Lightning-Design/Develop

SalesForce.com Certifications Preferred

Note: delivery is willing to consider SFDC developer who is working on a Vlocity certification

#INDAPPS

About NTT DATA Services

NTT DATA Services is a global business and IT services provider specializing in digital, cloud and automation across a comprehensive portfolio of consulting, applications, infrastructure and business process services. We are part of the NTT family of companies, a partner to 85 % of the Fortune 100.

NTT DATA Services is an equal opportunity employer and will consider all qualified applicants for employment without regard to race, gender, disability, age, veteran-status, sexual orientation, gender identity, or any other class protected by law.",Salesforce and Vlocity Developer,"Plano, TX",3.3,$10+ billion (USD),$40K-$72K (Glassdoor est.),Information Technology,10000+ employees,Company - Public
"NTT DATA Corporation
3.3","Capgemini, Accenture, Deloitte",1967,"Tokyo, Japan",IT Services,"Job Duties:
24X7 Oracle Application Support
Root cause identification and fixing identified root cause
Problem solving and handling maintenance work
Handling minor enhancements
Should be available for ""On Call"" during weekends and holidays on rotation basis
Should have good communication skills
Basic Qualifications:

5 + Years of Oracle EBS SCM Functional knowledge

5 + Years of Oracle EBS SCM technical enhancements and support

#INDAPPS

Basic Qualifications:

5 + Years of Oracle EBS SCM Functional knowledge

5 + Years of Oracle EBS SCM technical enhancements and support

About NTT DATA Services

NTT DATA Services is a global business and IT services provider specializing in digital, cloud and automation across a comprehensive portfolio of consulting, applications, infrastructure and business process services. We are part of the NTT family of companies, a partner to 85 % of the Fortune 100.

NTT DATA Services is an equal opportunity employer and will consider all qualified applicants for employment without regard to race, gender, disability, age, veteran-status, sexual orientation, gender identity, or any other class protected by law.",Oracle Application Support Analyst,"Fond du Lac, WI",3.3,$10+ billion (USD),$40K-$72K (Glassdoor est.),Information Technology,10000+ employees,Company - Public
"NTT DATA Corporation
3.3","Capgemini, Accenture, Deloitte",1967,"Tokyo, Japan",IT Services,"At NTT DATA Services, we know that with the right people on board, anything is possible. The quality, integrity, and commitment of our employees are key factors in our company's growth, market presence and our ability to help our clients stay a step ahead of the competition. By hiring the best people and helping them grow both professionally and personally, we ensure a bright future for NTT DATA Services and for the people who work here.

NTT DATA Services currently seeks a SAP FI/CO Functional Consultant to join our team in San Ramon, California (US-CA), United States (US).

SAP FICO Functional Consultant

Duties & Responsibilities:
Production support for SAP Finance and Controlling, Financial consolidation
Manage tickets within SLA
Works on the development activities as prioritized by Business
Enhances and supports Finance, Controlling and Financial
Consolidation and Reporting functionalities
Creates BPC Input templates and Reports using the EPM Add-in
Maintains quality and control in support and configuration processes
Assists with Ad hoc projects (testing, audits, etc.) and manages data issues
Gathers requirements and designs solutions for BPC
Work closely with SAP architects, technical teams, and functional analysts to deliver project scope on time, on budget and with high quality deliverables
Motivates and manages project teams
Presents and leads design workshops with clients/customer project teams.
Generates and communicates clear business reasons for implementing technical solutions.
Communicate effectively with clients regarding the SAP project, technology, and functionalities.
Develops accurate work estimates, project budgets and timelines.
Ensures client satisfaction targets are achieved
Basic Qualifications:
Minimum of 8 years of experience as a FICO Functional Consultant including Financial Consolidations and Reporting
Minimum of 8 years designing and implementing business performance management applications including budgeting, forecasting, planning, consolidation, and reporting
Minimum of 2 full cycle FICO implementations
Minimum 2 years of experience with SAP Application Management Service
Minimum 1 full cycle implementation of SAP BPC
Experience writing allocations, script logic, and complex calculations for BPC
Minimum of 5 years' experience using Agile/Scrum principles and methodology
Experience translating complex business requirements into technical specifications
Experience leading presentations and design workshops for clients
Experience developing solutions for activities such as Inter-company, Elimination, Currency translation, CTA Analysis, and financial reporting
Experience developing EPM add-ins and Macros for Excel
Experience with Governance, Controls, SOX compliance, and GAAP
Nice to haves:
Functional knowledge of SAP BW, to help support planning and consolidations
Experience with SAP Solution Manager for Best Practices, Implementation Documentation, Business Process Documentation
Experience with migration from SAP ECC 6.0 to S/4 Hana
Travel:on-site position in San Ramon, CA.Local travel maybe be required per project demands

Degree: Bachelor's Degree in Computer Science, Accounting, Finance, or related discipline

This position is only available to those interested in direct staff employment opportunities with NTT DATA, Inc. or its subsidiaries. Please note, 1099 or corp-2-corp contractors or the equivalent will NOT be considered. We offer a full comprehensive benefits package that starts from your first day of employment.

About NTT DATA Services

NTT DATA Services partners with clients to navigate and simplify the modern complexities of business and technology, delivering the insights, solutions and outcomes that matter most. We deliver tangible business results by combining deep industry expertise with applied innovations in digital, cloud and automation across a comprehensive portfolio of consulting, applications, infrastructure and business process services.

NTT DATA Services, headquartered in Plano, Texas, is a division of NTT DATA Corporation, a top 10 global business and IT services provider with 118,000+ professionals in more than 50 countries, and NTT Group, a partner to 88 percent of the Fortune 100. Visitnttdataservices.com to learn more.

NTT DATA, Inc. (the ""Company"") is an equal opportunity employer and makes employment decisions on the basis of merit and business needs. The Company will consider all qualified applicants for employment without regard to race, color, religious creed, citizenship, national origin, ancestry, age, sex, sexual orientation, gender identity, genetic information, physical or mental disability, veteran or marital status, or any other class protected by law. To comply with applicable laws ensuring equal employment opportunities to qualified individuals with a disability, the Company will make reasonable accommodations for the known physical or mental limitations of an otherwise qualified individual with a disability who is an applicant or an employee unless undue hardship to the Company would result.

INDAPPS",SAP FI/CO Functional Consultant,"San Ramon, CA",3.3,$10+ billion (USD),$40K-$72K (Glassdoor est.),Information Technology,10000+ employees,Company - Public
"NYC Data Science Academy
4.9","Metis, General Assembly",2014,"New York, NY",Education Training Services,"Want to be part of a great TEAM at a dynamic Data Science company? Want to change people’s lives every day? Read on.

The part timewill help assist with the student career development and job placement functions. This role will be on average 5-10 hours per week.

RESPONSIBILITIES:
Assist with student career development and job placement
Lead sessions on career readiness topics
Design and revise resumes and cover letters to facilitate successful job applications.
QUALIFICATIONS
Bachelor’s degree and counseling experience
1+ years’ experience
In-depth knowledge of best practices and latest trends and benchmark data in talent acquisition and learning and development
Successful track record in job placement and career development
Must have excellent analytical, organizational, verbal, written, and communication skills.
Maintain and build relationships with students and employers at all levels
COMPETENCIES
Excellent relationship building, influencing, consultative and partnering skills
Must have excellent written and verbal communication skills and have proven ability to modify communication/style/approach based on audience
Experience in using Social Media for job opportunity sourcing (using forums like Linked-in, Glassdoor, twitter, discussions forums, blogs etc.) required",Part-time Career Coach,"New York, NY",4.9,Unknown / Non-Applicable,$40K-$72K (Glassdoor est.),Education,1 to 50 employees,Company - Private
"NTT Global Data Centers Americas, Inc
4.8","QTS, CyrusOne, Equinix",2000,"Sacramento, CA",Enterprise Software & Network Solutions,"POSITION SUMMARY: BASIC FUNCTION

The Critical Facilities Operations (CF Ops) Data Center Technician L1 must possess a working level of data center knowledge, is responsible for the operational integrity and regulatory compliance of the data center electrical, mechanical, and fire life safety systems. Regular, predictable attendance is essential to satisfactory performance.

ESSENTIAL DUTIES & RESPONSIBILITIES

This position will also be responsible for the processes that maximize customer uptime in the most cost-effective way. Technicians must ensure that data center problems are identified and repaired quickly, that contractors deliver quality services, and that internal customer demands are met. A L1 Technician develops creative approaches to keep operational costs to a minimum, improve efficiency, and implement new strategies.

Some key responsibilities include:
Mechanical responsibilities will include chilled water systems and components, HVAC systems such as roof top units, CRAC/CRAH units, and humidification systems.
Electrical responsibilities will include electrical/critical power distribution from the Utility/Generator main switchgear through the UPS systems out to the customer load.
Fire Life Safety responsibilities will include wet sprinkler systems and pre-action sprinkler systems as well as their associated detection devices.
Performs other duties as assigned.

KNOWLEDGE, SKILLS & ABILITIES
Understanding of the mechanical, electrical, and fire life safety systems used in a data center environment including, but not limited to the following: electrical distribution and layout, Transformers, PLC’s, Generators, Switchgear, UPS systems, STS’, ATS’ PDU’s, Chilled Water Systems, CRAC/CRAH’s, Pre-Action Sprinkler Systems
Operates, monitors, maintains, and responds to abnormal conditions in facilities systems. Areas include: Mechanical, Electrical, Fire Life Safety, and Building Monitoring and Control
Analyzes systems to ensure best practices for both internal and external customers
Provides feedback to DCO Engineering on the effectiveness of existing standards and processes
Works with contractors and consultants to review quality assurance for all system expansions, corrections, and upgrades
Works with the CF Ops Lead Technician to track and complete an aggressive preventive and predictive maintenance program
Ensures data center operates at maximum operational efficiency, including analyzing existing operating conditions, recommending new technologies and improving overall efficiency, and cost reduction.
Manages systems to avoid unplanned customer-impacting events
Works with CF Ops Lead Technician to determine maintenance requirements for mechanical, electrical, and fire life safety systems
Knowledge of NEC, NFPA 70E, NFPA 72, NFPA 25, and compliance issues as well as building codes in regard to fire life safety
Current knowledge in industrial safety best practices (i.e. lockout/tag out, arc flash protection, OSHA and state regulations)
Familiarity with data trending / tracking and analysis and the ability to utilize a PC based integrated critical monitoring systems
Hands-on experience installing, maintaining, and/or troubleshooting large commercial and industrial systems including:
Chilled Water Systems
Large Centrifugal Chillers
Cooling Towers
Heat Exchangers
Water Treatment Systems
VFD’s and Pumps
HVAC equipment
CRAC/CRAH’s
Humidification Systems
Water heaters
Water/Air filters
BMS and PLC Controls
Emergency Standby Diesel Generator Systems
Fuel/Oil systems,
480/277 and 208/120 electrical generation and distribution
Static UPS Systems
Double Interlock Pre-Action Systems
Excellent communication skills, both written and oral
Proficient with MS Office Suite (Word, Excel, PowerPoint, Project)
Ability to communicate effectively with customers and internal staff.
Ability to coordinate, supervise, and communicate with contractors who perform maintenance or upgrade work on these systems.
Ability to learn quickly and address issues as they arise during normal working hours or after hours.
Ability to operate in and promote a rigorous process-driven team environment
Ability to logically analyze and solve problems
Ability to effectively multi-task multiple projects
Operate Hand and Machine Tools (hammer, drill, saw, etc.)
Operate electrical tools such as a multi-meter or infrared camera.
Operate a forklift.
EDUCATION & EXPERIENCE
Associate of Science in Technology or equivalent work experience normally obtained with 3-4 years’ related experience.
One to two years in a mechanical/electrical position within critical facilities (preference given to data center, hospital, semi-conductor, or power plant experience).
CPR/First Aid and NFPA70E Certified during employment.
Forklift certified during employment.
PHYSICAL REQUIREMENTS
Primarily walking, standing, and bending with some sitting.
Ability to communicate effectively with verbal, visual and listening skills
Close visual work on a computer terminal.
Dexterity of hands and fingers to operate any required equipment as well as to operate computer keyboard, mouse, and other technical instruments.
Able to lift and carry heavy equipment, up to 50 pounds.
Ability to climb ladders and work on raised platform.
WORK CONDITIONS
Data Center environment with varying temperatures and loud noises.
Potential extensive daily usage of workstation or computer.
Must work on-site; no telecommuting permitted.
SPECIAL REQUIREMENTS
Must be comfortable working in a high stress, fast paced environment with shifting priorities.
Must be able to work on a shift which may require nights, holidays, and some weekends.
Must be willing to be part of the after-hours notification and escalation protocol.
CPR/First Aid and NFPA70E Certification during employment.
Forklift certification during employment.
Must wear leather close-toed shoes with a solid rubber sole.
Must possess a current, valid state-issued driver’s license.",Data Center Technician L1,"Garland, TX",4.8,$100 to $500 million (USD),$40K-$72K (Glassdoor est.),Information Technology,501 to 1000 employees,Subsidiary or Business Segment
"Data Inc
4.0","TEKMARK Global Solutions, Marlabs, IBM",1983,"Montvale, NJ",IT Services,"Title: Scala Developer
Location: New York, NY
Duration: Long-term Contract
Interview: Phone and WebEx

Description:
5+ years of Scala, Java, Python (or similar) programming
Familiar with functional programming style (Scala, Java 8 w/ lambda expressions, etc.)
Strong problem-solving and communication skills and enjoys a collaborative environment
Flexible, self-starter, fast-learner willing and able to quickly learn new technologies and skills
Experience with functional programming is a big plus
Experience with distributed computing is a plus.
Familiarity with Zookeeper/Storm/Spark/HDFS is a plus.
Please send your most updated resume with contract #.

Regards,
Ram Prakash
Manager - US Staffing
DATA Inc.
72 Summit Ave, Montvale, NJ 07645
Desk: 201-649-8472 | Cell: 732-820-7426",Scala Developer,"New York, NY",4.0,$50 to $100 million (USD),$40K-$72K (Glassdoor est.),Information Technology,501 to 1000 employees,Company - Private
"Pavilion Data Systems
3.4",-1,-1,"San Jose, CA",Computer Hardware & Software,"Job Summary
Pavilion Data is growing rapidly and is hiring Sales Engineers globally. In this role, you will serve as the Subject Matter Expert for all Pre- and Post-Sales Engineering activities such as driving successful Proof of Concepts (POC), Customer Site Survey, Evaluations, Sizing, Onsite Product Deployment, Root Cause Analysis and Technical Support. In addition, you will be a crucial part of our team by helping to broaden our reach and keeping our customers satisfied as they deploy the highest-performance NVMe-oF storage solution in the market today.

Primary job responsibilities:
Engage with customers, partners and prospects during pre- and post- sales activities to drive evaluations, sizing’s, RFP’s, POC’s and test cycles, ultimately leading to close deals.
Keep management, sales and account teams informed of high severity issues and escalations
Act as “trusted technical adviser” to customers while developing critical relationships with key stakeholders in the process
Communication and positioning of Pavilion's strategic technical advantages and value proposition versus competitive solutions into the customer base
Perform product installation and professional services to deliver solutions according to customer requirements and business objectives
Replicate customer issues and assist engineering in producing conclusive failure and root cause analysis for bugs/issues found
Work closely with engineering teams to identify and implement product fixes and patches
Assist with development of training material and best practice guides
Qualifications:
7+ years of demonstrated success in a customer facing pre- and post- sales engineering roles such as Field Engineer, Systems Engineer, Escalation Engineer, Sr. Support Engineer
Knowledge of storage technologies (NAS, SAN) and deployment models
Strong networking knowledge and experience. CCNA Certification a plus
Experience working with customers and technology partners
Experience implementing enterprise hardware or software, cloud platforms, IaaS, PaaS, or virtual infrastructure software
Comfortable presenting technical material to customers in-person and on the phone
Strong written and verbal communication skills
Self-motivated and a self-starter, comfortable working remotely and autonomously
Ability to travel with the needs of the role
Bachelor’s Degree in Computer Science, Engineering, Mathematics, related field, or equivalent experience",Sales Engineer - London,"San Jose, CA",3.4,Less than $1 million (USD),$40K-$72K (Glassdoor est.),Information Technology,1 to 50 employees,Company - Private
